Field (T),Resistance Ch1 (Ohms)
2.6188,0.1182
-13.7574,-2.3125
11.7845,1.5226
-3.9363,-0.7488
-4.3629,-0.8002
-1.9415,-0.5006
-7.5943,-1.2486
-5.1509,-0.9109
9.5745,1.1726
-12.6062,-2.0963
14.0001,1.8734
13.8368,1.8463
5.0317,0.5093
9.8078,1.2231
-2.3499,-0.5568
6.6286,0.7526
-5.4187,-0.9536
7.3335,0.8459
-1.2514,-0.4032
0.1445,-0.2278
6.7067,0.7656
-9.2021,-1.5095
5.1082,0.5282
12.1885,1.5867
10.6028,1.3397
-6.5530,-1.0687
11.4879,1.4839
0.9601,-0.1180
12.0786,1.5634
-3.6698,-0.7207
