Field (T),Resistance (ohm)
-12.7636,21.3070
12.6700,21.3257
-12.8726,21.3083
5.3441,21.0070
11.6276,21.2605
-5.5129,20.9996
4.7021,20.9808
0.3326,21.8211
13.7735,21.3701
9.4037,21.1551
-10.1957,21.1997
2.4467,21.5641
-10.3680,21.1950
-8.6495,21.1166
6.8636,21.0495
1.3821,21.7557
3.2305,21.1619
1.7269,21.7105
4.8591,20.9896
-13.1564,21.3332
0.7711,21.8045
-3.5451,20.9909
-0.3411,21.8257
-11.6278,21.2485
5.6419,21.0020
-10.5563,21.1934
9.1696,21.1606
4.5142,20.9871
-10.1316,21.1817
13.5092,21.3857
