Field (T),Resistance Ch1 (Ohms)
-4.2513,-0.0724
-5.7336,-0.0836
6.7696,-0.0332
-10.3990,-0.1381
-5.6559,-0.0856
-0.4346,-0.2208
-5.9229,-0.0902
1.6178,-0.1875
4.8598,-0.0306
11.2859,-0.0306
-10.4463,-0.1328
13.7285,-0.0363
4.0142,-0.0419
-9.5637,-0.1310
1.2427,-0.1926
5.5949,-0.0308
8.1918,-0.0213
3.0433,-0.0841
-2.8365,-0.1298
-5.1195,-0.0828
3.5133,-0.0356
12.8559,-0.0463
7.5853,-0.0213
1.3836,-0.1916
-10.0199,-0.1462
8.9527,-0.0252
4.3749,-0.0318
9.8867,-0.0257
1.6019,-0.1730
9.2644,-0.0242
