Field (T),Resistance Ch1 (Ohms)
-4.6703,1.4725
-11.3123,0.1747
-11.0374,0.2323
-1.6038,2.0778
-6.1118,1.2009
7.5997,3.5782
5.6429,3.2546
2.3388,2.7637
-10.5952,0.3358
8.3937,3.7406
-7.7445,0.9061
7.4429,3.5660
-12.6371,-0.0845
2.0879,2.7327
4.9302,3.1417
5.1101,3.1775
0.2947,2.4364
5.4064,3.2234
-8.9163,0.6954
-6.1439,1.2154
13.0206,4.6877
-1.7370,2.0581
-9.8319,0.4847
-4.1813,1.5670
-5.3709,1.3393
-6.4268,1.1556
9.7234,3.9964
5.1484,3.1850
10.4075,4.1132
-12.6291,-0.0757
