Field (T),Resistance (ohm)
8.5161,21.5945
-6.9339,21.6154
13.9284,21.7069
2.0700,22.1361
-0.9390,22.5666
-0.6886,22.5890
-8.4803,21.5940
-1.8174,22.3424
-13.4260,21.6724
10.3050,21.6111
5.4372,21.6743
-11.1741,21.6010
5.2341,21.6845
8.1278,21.5966
3.8236,21.8051
7.5821,21.6032
13.2434,21.6789
-2.8862,21.9403
6.1731,21.6389
6.2511,21.6399
0.7079,22.5862
-8.0690,21.5841
11.3158,21.6185
-7.5961,21.5938
1.6941,22.3826
8.9986,21.5934
8.7502,21.6047
-4.6163,21.7281
-10.6844,21.6123
-9.1239,21.5873
