Field (T),Resistance Ch1 (Ohms)
-9.0940,0.5710
8.2203,3.6298
6.7831,3.3662
-10.6146,0.2674
4.5276,2.9849
11.3920,4.2778
12.7381,4.5748
-0.4316,2.1530
8.0257,3.5858
10.1946,4.0379
-4.3334,1.4454
10.0166,3.9959
-2.7225,1.7733
13.8644,4.8535
7.7299,3.5388
-8.2821,0.7202
-9.4010,0.4963
4.5427,2.9869
11.6491,4.3269
13.4762,4.7626
-12.2687,-0.0818
1.3412,2.4013
-6.9427,0.9589
2.1002,2.5212
11.8358,4.3720
11.0661,4.2139
-12.5300,-0.1290
2.6640,2.6225
3.9168,2.8693
1.5372,2.4332
