Field (T),Resistance (ohm)
11.1451,21.3615
13.7426,21.4855
6.4717,21.2610
-3.4812,21.3271
-11.9751,21.3714
-8.0356,21.2645
-13.2206,21.4298
-0.3722,22.1078
-6.6023,21.2518
-5.1353,21.2618
13.2141,21.4524
2.8547,21.6177
-6.1767,21.2469
10.3368,21.3458
-12.8735,21.4182
-7.3101,21.2593
8.3467,21.2715
9.2018,21.2971
3.5284,21.3295
4.3271,21.2805
0.8349,22.0751
10.1185,21.3212
-5.3710,21.2566
10.5384,21.3319
13.5566,21.4428
-6.6320,21.2497
-4.4252,21.2732
4.6241,21.2797
-4.0467,21.2943
13.1675,21.4614
