Field (T),Resistance (ohm)
-10.5959,22.5887
-10.6207,22.6078
-10.1944,22.5468
-5.6237,22.5746
13.9749,22.7259
9.2256,22.5393
11.2384,22.6171
3.2377,22.6427
8.6814,22.5431
7.8416,22.5533
12.0870,22.6402
8.6569,22.5379
13.1762,22.6524
-2.3570,22.6744
8.2148,22.5155
11.7453,22.6585
11.6426,22.5772
-10.9036,22.5822
9.6829,22.5792
-5.4200,22.5779
0.2848,22.7094
13.5645,22.7487
5.8388,22.5565
10.8121,22.6080
9.1553,22.5693
-4.0172,22.5981
3.3699,22.6296
-6.1600,22.5542
-3.3870,22.6464
-6.6241,22.5450
