Field (T),Resistance Ch1 (Ohms)
-5.4369,-0.9065
4.3065,0.4471
11.6090,1.5212
13.8487,1.8860
12.6829,1.6814
5.3402,0.6129
-13.9183,-2.3314
-0.2508,-0.2218
6.9076,0.8304
-0.8939,-0.3148
-10.3234,-1.6610
13.8329,1.8849
9.4481,1.1966
3.0707,0.2016
2.5219,0.1050
7.9998,0.9786
-5.4851,-0.9117
11.0180,1.4226
6.2816,0.7404
-8.9991,-1.4404
8.9347,1.1039
-12.1685,-1.9885
9.2773,1.1657
12.1539,1.5927
0.8001,-0.1153
-8.2594,-1.3295
10.9097,1.4162
-8.3379,-1.3519
-5.6430,-0.9326
-1.9136,-0.4515
