Field (T),Resistance (ohm)
-0.9849,25.5866
13.8890,24.1535
-1.0081,25.5814
-1.2132,25.5624
9.3253,24.3413
-11.9762,24.9759
10.4311,24.4904
8.4704,24.1638
-4.6544,24.6641
-3.7952,25.2574
11.2387,24.2366
-13.0869,24.5554
-13.7489,24.3517
-9.3751,24.9169
10.8970,24.3389
9.1086,24.5067
9.2170,24.4332
-10.3594,24.7089
4.8426,24.5409
-3.1583,25.4015
13.6732,23.9268
-2.2100,25.4956
-13.5116,24.6946
10.2507,24.6335
-2.2716,25.5088
5.9074,24.3750
-3.0497,25.4198
6.0491,24.5099
6.0794,24.3962
10.8423,24.2677
