Field (T),Resistance (ohm)
13.9576,21.7631
-2.8081,21.7387
2.0219,21.7896
-12.5776,21.6293
7.6752,21.2602
8.2204,21.2926
-9.4253,21.3915
3.7917,21.5967
-5.7997,21.1450
0.9101,21.8229
3.3528,21.6705
-3.0925,21.7072
-13.9170,21.7294
-4.9483,21.1519
12.5584,21.6210
-13.2389,21.6795
-7.6755,21.2560
3.8857,21.5749
13.0551,21.6483
-10.0089,21.4188
-13.6813,21.7200
-7.8174,21.2566
4.9816,21.1454
-12.6080,21.6253
-3.9558,21.5564
-13.4280,21.7048
1.6142,21.8087
-6.0835,21.1738
-7.2186,21.2187
11.3926,21.5306
