Field (T),Resistance Ch1 (Ohms)
-4.8909,1.3523
-9.6354,0.4786
-8.1614,0.7623
3.3235,2.7983
6.4644,3.3439
4.1221,2.9644
-1.2825,2.0385
-6.4278,1.0720
5.5230,3.1781
-8.3193,0.7319
2.8234,2.6986
3.8722,2.9118
-5.1434,1.3063
-0.6164,2.1619
-0.5302,2.1732
-12.1331,-0.0645
8.0502,3.6366
2.5414,2.6488
5.3597,3.1452
-1.1334,2.0723
1.4457,2.4646
-13.0949,-0.2443
4.0680,2.9509
12.8173,4.6256
3.8650,2.9111
-8.0028,0.7807
8.2527,3.6596
0.4658,2.3263
-7.5475,0.8837
10.0576,4.0268
