Field (T),Resistance (ohm)
4.7342,22.2213
-0.7947,22.7000
5.4086,22.1527
-9.5319,22.0900
-5.4655,22.1567
8.7030,22.0805
12.0178,22.1672
0.3967,22.7243
-2.8362,22.4386
-0.8418,22.6956
10.1362,22.0943
-9.0894,22.0844
-9.6890,22.0956
4.8600,22.1981
12.6710,22.2110
2.4797,22.4806
10.4170,22.0951
12.5928,22.2073
7.0836,22.0877
5.3927,22.1701
-6.4114,22.1190
-10.0200,22.1039
-11.4858,22.1488
2.9814,22.4108
6.5977,22.1054
8.8761,22.0845
9.5613,22.0978
11.6596,22.1580
13.4486,22.2264
8.5322,22.0738
